id,名称,地址,交流桩数,交流桩数,运行商,电站类型,平均费用,各时段充电费用,各时段服务费用,停车费用,经度,纬度
12394b77-caab-49ba-9818-3e324eed8e9a,闵行区 浦江瑞和城贰街坊二期,上海市闵行区汇延路59弄,0,25,星星充电,公共电站,1.74,1.1,0.64,5元/小时（仅供参考，具体以场地方收取为准),121.51378864131337,31.023518587779723
8af9789e-eebc-45d1-97ba-9b78b4d2f419,闵行区 浦江瑞和城贰街坊一期,上海市闵行区鲁宁路318弄,0,25,星星充电,公共电站,1.796,1.156,0.64,一小时五元（仅供参考，具体以场地方收取为准),121.51776284838655,31.022464691226695
00397bbf-3fb3-4bc9-8c5b-f53fefccafc4,浦东新区 华迈机械设备制造厂,上海市浦东新区金亭公路1070-1号院内,0,6,星星充电,公共电站,1.731,1.091,0.64,免费停车（仅供参考，具体以场地方收取为准),121.77237546067813,31.112844642062747
45bc0c7a-47e6-476c-8497-379264591a95,上海聚汶仪器有限公司_新春路144号,上海市闵行区新春路144号,1,0,人人电站,专用电站,0.0,0.0,0.0,,121.40641384161518,31.040984389411896
00e0f54c-774b-4724-88a3-8860d3640b1f,奉贤区 南行贤苑,上海市奉贤区万顺路2277弄,0,19,星星充电,公共电站,1.281,0.641,0.64,暂时免费（仅供参考，具体以场地方收取为准),121.514310914921,30.963544131799605
dba8c1c5-8710-41a6-acfd-8ffd2f27c074,杨浦区 上海市肺科医院,上海市杨浦区政民路507号,0,3,星星充电,公共电站,1.539,0.899,0.64,6元/小时（仅供参考，具体以场地方收取为准）,121.50664322346016,31.30576665025191
a74c695d-fcd0-4124-9b48-2c17c3af2f23,浦东新区 天马微电子园区三期(直流),上海市浦东新区汇庆路888号右转左转到底右侧,1,0,星星充电,专用电站,2.036,1.236,0.8,免费停车（仅供参考，具体以场地方收取为准),121.7092727942852,31.237966828209963
8e441f6d-f087-4897-b654-1b622bedbfc0,金山区 冬鼎汽车销售,上海市金山区中一东路81号(中一东路运石路路口东南侧),0,5,星星充电,公共电站,1.731,1.091,0.64,以实际收费为准（仅供参考，具体以场地方收取为准),121.4244030449335,30.793875967559654
7b689052-8a4a-4765-8966-b18076a34aa6,闵行区 凯龙莘庄商务园(直流),上海市闵行区申南路59号,2,0,星星充电,公共电站,1.985,1.185,0.8,5元一小时。8小时15，24小时30。（仅供参考，具体以场地方收取为准),121.39518941946737,31.077813730192553
8aa8ea13-dceb-42eb-8181-da2e2b0bdd4d,威马测试,测试,0,4,人人电站,公共电站,0.0,0.0,0.0,,119.96667579577672,31.693982381340827
b66bf5a5-932e-4f1b-a967-889ded08bf2c,浦东新区 高桥新城文化广场(直流),上海市浦东新区莱阳路4288弄地下停车库,5,0,星星充电,公共电站,1.62,0.4--0.82--1.35--0.82--1.35--0.82--0.4,0.8--0.8--0.45--0.8--0.45--0.8--0.8,第一小时免费，1小时以上按照5元/小时收费（仅供参考，具体以场地方收费为准）,121.57782753386667,31.337615324171257
d6093bdf-1094-4568-805c-a727c6a5d230,浦东新区 天马微电子园区一期,（不对外开放）上海市浦东新区汇庆路889号,0,9,星星充电,专用电站,1.876,1.236,0.64,免费停车（仅供参考，具体以场地方收取为准),121.71372663967091,31.23725685567654
4b5ab2ae-1513-4690-8c90-165b8fc2a806,杨浦区 广汽传祺民欣店,上海市杨浦区军工路1455号,0,2,星星充电,公共电站,1.7,0.4--0.708--1.159--0.708--1.159--0.708--1.159--0.708--0.4,0.64--0.64--0.541--0.64--0.541--0.64--0.541--0.64--0.64,晚19点至早7点10元/次（仅供参考，具体以场地方收取为准),121.54551996787904,31.309340849545332
