EMP.A,73890,25.45
ENB,417788,44.065
ENGH,7854,68.165
ERF,51148,13.315
ERO,100,10.495
ESI,35467,5.075
ET,572,15.81
EXE,14263,6.745
FCR,53922,19.595
FFH,3207,638.985
FM,113485,13.605
FNV,41268,91.68
FR,9051,6.475
FRII,200,2.64
FRU,15680,8.88
FSV,6972,102.005
FSZ,3700,11.445
FTS,125817,46.745
FTT,41926,27.28
FVI,20339,4.335
G,320521,12.445
GC,10475,51.525
GEC.UN,100,9.625
GEI,50052,19.655
GIB.A,58453,84.85
GIL,51325,44.415
GRT.UN,10978,54.475
GSC,115,3.87
GTE,111733,3.635
GUD,25383,8.575
GUY,34778,1.415
GWO,6683,29.91
H,152326,19.785
HBM,36785,7.265
HCG,20882,17.665
HEXO,10481,5.815
HOT.UN,200,6.705
HR.UN,105736,20.84
HRX,500,14.13
HSE,232018,16.845
IAG,9492,48.0
IFP,9887,15.28
IGM,7492,34.705
IIP.UN,30039,12.955
IMG,107455,4.185
IMO,23476,38.015
INE,24635,12.525
ITP,9914,17.0
IVN,94508,2.825
K,497399,3.725
KBL,64,35.375
KEL,34548,4.525
KEY,72937,28.975
KML,26015,15.505
KMP.UN,22253,16.29
KXS,10892,74.03
L,22436,61.41
LAS.A,12,203.505
LB,9595,41.315
LGO,13404,3.745
LIF,14097,26.83
LUC,69036,1.825
LUN,273384,6.415
MAG,19238,8.975
MAXR,13402,21.855
MBN,500,6.655
MEG,35669,8.595
MFC,359778,21.955
MFI,16854,29.23
MG,18763,66.97
MI.UN,500,19.085
MIC,5147,43.69
MRE,12230,11.055
MRU,16071,45.68
MSI,13495,26.365
MTL,19603,12.355
MTY,5068,65.675
MX,20782,75.545
NA,107215,60.235
NEPT,101,4.335
NFI,12249,37.32
NG,51379,4.965
NGD,120893,1.025
NOA,100,12.785
NPI,23615,22.57
NSU,66693,5.965
NTR,5534,69.035
NVA,64686,3.965
NVU.UN,14572,26.065
NWC,9585,29.205
NWH.UN,11891,10.375
NXE,63273,2.905
OGC,123041,3.835
ONEX,4764,81.54
OR,26885,9.975
OSB,10237,37.025
OTEX,57128,45.655
PAAS,20101,17.505
PBH,9468,79.16
PD,60842,3.105
PEY,41590,10.215
PG,100,1.495
PKI,37859,38.19
PLZ.UN,500,4.095
POU,15354,7.855
POW,39624,26.015
PPL,121881,45.085
PSI,16950,19.66
PSK,6373,17.95
PVG,45087,9.355
PWF,83336,27.495
PXT,34560,16.705
QBR.B,34510,28.355
QSR,56899,75.76
QTRH,100,1.415
RAY.A,200,7.68
RBA,23475,45.535
RCH,15425,25.31
RCI.B,10383,70.88
REI.UN,146208,24.455
RNW,21983,11.155
RSI,3083,5.735
RUS,16112,23.11
RY,310897,97.115
SAP,38936,40.425
SCL,15138,20.11
SEA,500,15.72
SES,36666,7.075
SGY,5445,1.635
SHOP,21118,207.095
SIA,15324,16.68
SII,500,2.795
SIS,1432,13.71
SJ,12369,39.635
SJR.B,55763,24.865
SLF,103934,48.915
SMF,34953,2.425
SMT,25,3.035
SMU.UN,5754,9.285
SNC,28447,48.545
SOY,700,6.135
SPB,34830,10.405
SRU.UN,33305,31.22
SSL,33485,5.625
SSRM,29533,14.235
STEP,100,2.775
STLC,2249,20.07
STN,17061,31.42
SU,334983,42.815
SVM,4700,2.695
SW,7784,21.81
T,111128,47.475
TA,27384,7.095
TCL.A,20031,20.24
TCN,30048,10.195
TCW,76102,1.315
TD,406178,72.765
TECK.B,17470,28.12
TFII,12418,43.25
THO,44898,4.755
TIH,17717,58.445
TNT.UN,400,5.905
TOG,32531,5.165
TOU,89223,18.905
TOY,5481,41.045
TRI,72656,65.74
TRP,254405,55.245
TRQ,314042,2.515
TRST,648,7.885
TSGI,79648,25.985
TV,6000,0.488
TVE,55871,2.375
TXG,39675,10.705
UFS,2100,58.43
UNS,10664,21.55
VET,63575,33.455
VII,55142,10.215
VNR,1600,20.06
WCN,28288,103.145
WCP,70216,4.935
WDO,1167,3.555
WEED,17553,44.015
WEF,73629,1.89
WFC,300,24.62
WFT,9330,70.68
WIR.U,1010,12.82
WJA,63775,20.525
WJX,1000,19.25
WN,9380,97.125
WPK,5963,46.655
WPM,187715,21.25
WSP,11518,64.455
WTE,10211,23.645
X,8668,78.725
YGR,100,2.885
YRI,144485,2.845
ZZZ,30534,23.18
ACQ,300,12.395
ADW.A,300,13.535
AGF.B,1326,4.975
AGT,200,15.68
ALS,300,12.94
AOI,300,1.195
APR.UN,500,9.65
AR,300,1.245
BBD.A,600,2.31
BBD.B,115001,2.275
BDT,300,6.665
BLDP,200,3.895
BXE,100,1.015
CF,100,6.625
CFW,206,2.735
CFX,6965,19.2
CJ,3600,2.945
CLIQ,200,7.13
CPG,412986,4.345
CTC.A,12877,149.83
CWL,100,1.54
CWX,100,4.875
DML,1000,0.755
DRM,100,7.035
DRT,7500,6.85
EFR,100,4.495
EQB,719,70.56
FEC,300,13.245
FN,200,28.13
FTN,100,8.63
GCG,60,22.745
GCG.A,20,22.78
GOOS,73051,92.375
GS,200,10.705
HBC,20146,9.13
HDI,400,12.01
HLF,100,6.835
HNL,200,2.185
IFC,8212,104.535
IPL,6094,21.255
JE,27301,5.705
JWEL,600,22.555
KEW,10,6.055
KL,6991,28.715
KWH.UN,200,5.185
LAC,200,5.16
LMC,376,1.525
LNR,10560,48.585
MKP,100,14.085
MRC,400,179.625
NMX,2000,0.765
OSK,100,2.515
PBL,30,22.115
PFB,10,9.175
PIF,100,9.86
PLC,207,23.135
PLI,500,0.408
PZA,200,9.195
REAL,100,4.5
RECP,100,26.42
ROOT,7300,4.78
SOT.UN,400,7.045
SUM,500,12.3
TDG,1900,1.675
TEV,200,7.915
TF,300,9.15
TGL,100,2.895
TGOD,2644,3.185
TH,100,8.455
U,200,4.865
UEX,500,0.19
VFF,100,5.325
VLE,100,3.75
ZYME,200,17.085
