SOY,700,700.0,1.0,6.135
SPB,34830,34830.0,1.0,10.405
SRU.UN,33305,33305.0,1.0,31.22
SSL,33485,33485.0,1.0,5.625
SSRM,29533,29533.0,1.0,14.235
STEP,100,100.0,1.0,2.775
STLC,2249,2249.0,1.0,20.07
STN,17061,17061.0,1.0,31.42
SU,334983,334983.0,1.0,42.815
SVM,4700,4700.0,1.0,2.695
SW,7784,7784.0,1.0,21.81
T,111128,111128.0,1.0,47.475
TA,27384,27384.0,1.0,7.095
TCL.A,20031,20031.0,1.0,20.24
TCN,30048,30048.0,1.0,10.195
TCW,76102,76102.0,1.0,1.315
TD,406178,406178.0,1.0,72.765
TECK.B,17470,17470.0,1.0,28.12
TFII,12418,12418.0,1.0,43.25
THO,44898,44898.0,1.0,4.755
TIH,17717,17717.0,1.0,58.445
TNT.UN,400,400.0,1.0,5.905
TOG,32531,32531.0,1.0,5.165
TOU,89223,89223.0,1.0,18.905
TOY,5481,5481.0,1.0,41.045
TRI,72656,72656.0,1.0,65.74
TRP,254405,254405.0,1.0,55.245
TRQ,314042,314042.0,1.0,2.515
TRST,648,648.0,1.0,7.885
TSGI,79648,79648.0,1.0,25.985
TV,6000,6000.0,1.0,0.488
TVE,55871,55871.0,1.0,2.375
TXG,39675,39675.0,1.0,10.705
UFS,2100,2100.0,1.0,58.43
UNS,10664,10664.0,1.0,21.55
VET,63575,63575.0,1.0,33.455
VII,55142,55142.0,1.0,10.215
VNR,1600,1600.0,1.0,20.06
WCN,28288,28288.0,1.0,103.145
WCP,70216,70216.0,1.0,4.935
WDO,1167,1167.0,1.0,3.555
WEED,17553,17553.0,1.0,44.015
WEF,73629,73629.0,1.0,1.89
WFC,300,300.0,1.0,24.62
WFT,9330,9330.0,1.0,70.68
WIR.U,1010,1010.0,1.0,12.82
WJA,63775,63775.0,1.0,20.525
WJX,1000,1000.0,1.0,19.25
WN,9380,9380.0,1.0,97.125
WPK,5963,5963.0,1.0,46.655
WPM,187715,187715.0,1.0,21.25
WSP,11518,11518.0,1.0,64.455
WTE,10211,10211.0,1.0,23.645
X,8668,8668.0,1.0,78.725
YGR,100,100.0,1.0,2.885
YRI,144485,144485.0,1.0,2.845
ZZZ,30534,30534.0,1.0,23.18
ACQ,300,300.0,1.0,12.395
ADW.A,300,300.0,1.0,13.535
AGF.B,1326,1326.0,1.0,4.975
AGT,200,200.0,1.0,15.68
ALS,300,300.0,1.0,12.94
AOI,300,300.0,1.0,1.195
APR.UN,500,500.0,1.0,9.65
AR,300,300.0,1.0,1.245
BBD.A,600,600.0,1.0,2.31
BBD.B,115001,115001.0,1.0,2.275
BDT,300,300.0,1.0,6.665
BLDP,200,200.0,1.0,3.895
BXE,100,100.0,1.0,1.015
CF,100,100.0,1.0,6.625
CFW,206,206.0,1.0,2.735
CFX,6965,6965.0,1.0,19.2
CJ,3600,3600.0,1.0,2.945
CLIQ,200,200.0,1.0,7.13
