调音师,斯里兰姆·拉格万,8.7,0,0,0,0,阿里吉特·比斯沃斯,8.7,0,0,0,0,约戈什·查德卡尔,8.7,0,0,0,0,阿尤斯曼·库拉纳,6.6,8.7,6.4,0,0,塔布,8.7,5.4,6.0,6.1,7.4,拉迪卡·艾普特,8.7,7.4,7.5,5.6,0,喜剧/犯罪/惊悚,印度,印地语,2018-10-05,139,39854,54624,8.7
摇摆狂潮,姜炯哲,8.3,8.2,4.2,7.1,0,姜炯哲,8.3,8.2,4.2,7.1,0,0,0,0,0,0,0,都暻秀,9.0,8.3,7.8,7.5,0,朴慧秀,8.3,6.6,5.8,8.8,7.2,吴政世,8.2,5.3,8.3,5.6,7.2,剧情/战争/歌舞,韩国,韩语,2018-12-19,133,15028,30777,8.3
李茶的姑妈,吴昱翰,4.6,6.8,7.3,0,0,钱晨光,4.6,0,0,0,0,吴瑾蓉,4.6,6.5,0,0,0,黄才伦,5.7,4.6,6.8,6.5,0,艾伦,5.8,4.6,6.5,6.9,0,宋阳,4.6,6.9,5.3,0,0,喜剧,中国大陆,汉语普通话,2018-09-30,113,177868,85342,4.6
胡桃夹子和四个王国,拉斯·霍尔斯道姆,6.0,7.7,7.1,6.6,0,阿什利·鲍威尔,6.0,0,0,0,0,汤姆·麦卡锡,6.0,8.0,7.3,8.3,8.8,麦肯吉·弗依,6.0,8.1,9.2,0,0,摩根·弗里曼,6.0,6.4,4.6,7.9,0,凯拉·奈特莉,6.0,7.5,7.2,0,0,奇幻/冒险,美国,英语,2018-11-02,99,40571,80828,6.0
天气预爆,肖央,3.8,3.7,6.7,6.0,5.8,肖央,3.8,3.7,6.7,6.0,5.8,黄苑,3.8,0,0,0,0,肖央,3.8,3.7,6.7,6.0,5.8,杜鹃,3.8,3.6,7.0,3.1,4.0,常远,3.8,4.6,6.5,6.9,0,喜剧/奇幻,中国大陆,汉语普通话,2018-12-21,104,41939,28322,3.8
复仇者联盟3：无限战争,安东尼·罗素,6.9,8.1,7.8,0,0,杰克·科比,7.0,7.3,8.1,6.5,0,克里斯托弗·马库斯,8.1,7.8,8.2,8.3,7.9,小罗伯特·唐尼,8.1,7.4,0,0,0,克里斯·海姆斯沃斯,6.9,8.1,0,0,0,克里斯·埃文斯,8.1,7.4,8.2,7.8,0,动作/科幻/奇幻/冒险,美国,英语,2018-04-23,150,512168,292877,8.1
动物世界,韩延,7.2,7.2,7.4,6.3,7.2,韩延,7.2,7.2,7.4,6.3,7.2,福本伸行,8.7,7.2,7.5,6.6,8.9,李易峰,7.2,4.9,0,0,0,迈克尔·道格拉斯,9.2,7.3,7.2,7.1,5.8,周冬雨,5.9,3.5,0,0,0,剧情/动作/冒险,中国大陆,汉语普通话 / 英语,2018-06-29,132,320408,218368,7.2
罗马,阿方索·卡隆,8.1,6.2,0,0,0,阿方索·卡隆,8.1,6.2,0,0,0,0,0,0,0,0,0,雅利扎·阿巴里西奥,6.6,8.1,0,0,0,玛丽娜·德·塔维拉,8.1,6.1,7.7,7.8,0,迭戈·科蒂娜·奥特里,8.1,0,0,0,0,剧情/家庭,墨西哥 / 美国,西班牙语 / 米斯特克语 / 英语,2018-08-30,135,35362,82724,8.1
龙珠超：布罗利,长峰达也,8.2,6.7,5.6,8.5,9.0,鸟山明,8.2,7.8,5.6,9.2,7.2,0,0,0,0,0,0,野泽雅子,8.2,6.9,7.9,0,0,堀川亮,8.2,6.6,4.7,7.3,0,中尾隆圣,8.2,6.3,6.8,8.6,0,动画,日本,日语,2018-12-14,100,6087,9767,8.2
掠食城市,克里斯蒂安·瑞沃斯,6.5,5.3,7.1,6.7,0,弗兰·威尔士,6.5,8.3,8.3,7.6,8.2,菲利帕·鲍恩斯,6.5,8.3,8.3,8.2,7.1,海拉·西尔玛,6.5,8.1,5.6,0,0,雨果·维文,6.5,9.0,7.1,6.3,0,金吉,6.5,9.0,8.8,0,0,动作/科幻/冒险,美国 / 新西兰,英语,2018-12-14,128,28062,23827,6.5
T-34坦克,阿列克赛·西多洛夫,7.6,4.7,5.9,6.3,0,阿列克赛·西多洛夫,7.6,4.7,5.9,6.3,0,0,0,0,0,0,0,亚历山大·佩特罗夫,7.6,6.8,6.5,6.9,0,文森兹·凯弗,7.6,7.3,6.7,0,0,维克多·多勃朗拉沃夫,7.6,0,0,0,0,动作/历史/战争,俄罗斯,俄语,2018-12-27,139,4592,8817,7.6
一个明星的诞生,布莱德利·库珀,7.9,7.1,8.1,0,0,艾瑞克·罗斯,7.1,7.8,0,0,0,布莱德利·库珀,7.9,7.1,8.1,0,0,Lady,6.8,7.1,0,0,0,布莱德利·库珀,7.9,7.1,8.1,0,0,山姆·艾里奥特,7.1,6.1,8.5,6.6,0,剧情/爱情/音乐,美国,英语,2018-08-31,135,38632,39972,7.1
幸福的拉扎罗,阿莉切·罗尔瓦赫尔,8.6,7.4,7.3,0,0,阿莉切·罗尔瓦赫尔,8.6,7.4,7.3,0,0,0,0,0,0,0,0,阿德里亚诺·塔尔迪奥洛,8.6,0,0,0,0,阿涅塞·格拉齐亚尼,8.6,7.4,0,0,0,卢卡·奇科瓦尼,8.6,0,0,0,0,剧情/奇幻,意大利 / 瑞士 / 法国 / 德国,意大利语,2018-05-13,125,45311,101507,8.6
头号玩家,史蒂文·斯皮尔伯格,7.1,7.7,6.7,8.7,0,扎克·佩恩,8.7,4.9,8.0,8.1,6.7,恩斯特·克莱恩,8.7,0,0,0,0,泰伊·谢里丹,7.3,6.3,8.7,5.6,0,奥利维亚·库克,6.7,7.6,8.7,0,0,本·门德尔森,5.4,6.2,8.7,8.5,0,动作/科幻/冒险,美国,英语 / 日语 / 汉语普通话,2018-03-11,140,716162,85838,8.7
江湖儿女,贾樟柯,7.6,5.5,5.4,5.9,0,贾樟柯,7.6,5.5,5.4,5.9,0,0,0,0,0,0,0,赵涛,7.6,5.9,6.1,7.9,6.7,廖凡,7.0,6.6,7.6,4.9,0,徐峥,6.4,7.4,7.1,4.5,0,爱情/犯罪,中国大陆 / 法国 / 日本,汉语普通话 / 山西方言 / 湖北方言 / 重庆方言,2018-05-11,137,163391,192283,7.6
