企业名称,宣讲地点,宣讲时间,宣讲场地
雅砻江流域水电开发有限公司,昆明理工大学,2018-10-28,呈贡校区信自楼100报告厅
红河州水利水电工程地质勘察咨询规划研究院,西南林业大学,2018-10-28,A336
云南凯瑞特工程机械设备有限公司,西南林业大学,2018-10-28,A220
北京华戎生物激素厂,西南林业大学,2018-10-28,A222
上海汉丰建筑设计有限公司云南分公司,西南林业大学,2018-10-28,A224
中设设计集团股份有限公司,西南林业大学,2018-10-28,A229
索菲亚家居股份有限公司,西南林业大学,2018-10-28,新校区就业创业实训基地一楼报告厅
江苏中南建筑产业集团有限责任公司,西南林业大学,2018-10-28,A230
成都香林林业规划设计有限公司,西南林业大学,2018-10-28,B203
广东冠美颐高家具装饰有限公司,西南林业大学,2018-10-28,B205
成都心田花开科技有限公司,西南林业大学,2018-10-28,B206
浙江我武生物科技股份有限公司,西南林业大学,2018-10-28,B207
深圳市宏潮时代体育发展有限公司,西南林业大学,2018-10-28,B303
深圳市左右家私有限公司,西南林业大学,2018-10-28,B305
广州市石门国家森林公园管理处,西南林业大学,2018-10-28,B306
广州市石门国家森林公园管理处,西南林业大学,2018-10-28,B306
云南省测绘地理信息科技发展公司,西南林业大学,2018-10-28,B403
温氏食品股份集团股份有限公司,西南林业大学,2018-10-28,B404
新希望六和股份有限公司,西南林业大学,2018-10-28,B405
广西田园生化股份有限公司,西南林业大学,2018-10-28,B406
人本集团有限公司,西南林业大学,2018-10-28,B407
云南华航教育投资有限公司,西南林业大学,2018-10-28,B503
贵州宏信创达工程检测咨询有限公司,西南林业大学,2018-10-28,B504
北京中农信达信息技术有限公司,西南林业大学,2018-10-28,B505
四川睿道知识产权服务有限公司云南分公司,昆明理工大学,2018-10-28,呈贡校区西北区教学楼B栋101（135-150人）
北京正和恒基滨水生态环境治理股份有限公司,西南林业大学,2018-10-28,三教202多媒体教室
中铁九桥工程有限公司,昆明理工大学,2018-10-28,呈贡校区西北区教学楼B栋102
中国建筑第七工程局有限公司,昆明理工大学,2018-10-28,呈贡校区建工楼315
江西洪都航空工业集团有限责任公司,昆明理工大学,2018-10-27,呈贡校区西北区教学楼B栋101
中创通信息科技（深圳）有限公司,昆明理工大学,2018-10-27,呈贡校区西北区教学楼B栋102
上海嘉来景观工程有限公司,西南林业大学,2018-10-27,新校区就业创业实训基地一楼报告厅
上海嘉来景观工程有限公司,西南林业大学,2018-10-27,新校区就业创业实训基地一楼报告厅
中国南玻集团股份有限公司,西南林业大学,2018-10-27,新校区就业创业实训基地一楼报告厅
衡阳镭目科技有限责任公司,昆明理工大学,2018-10-27,呈贡校区西北区教学楼B栋101
广东筠诚生物科技有限公司,西南林业大学,2018-10-27,A218
攀钢集团江油长城特殊钢有限公司,昆明理工大学,2018-10-27,莲华校区主楼812
永锋集团有限公司,昆明理工大学,2018-10-27,呈贡校区西北区教学楼B栋102
浙江海亮股份有限公司,昆明理工大学,2018-10-26,莲华校区主楼812
清远欧派集成家居有限公司,西南林业大学,2018-10-26,新校区就业创业实训基地一楼报告厅
苏交科集团股份有限公司,昆明理工大学,2018-10-26,呈贡校区建工楼315
北京航空航天大学,云南农业大学,2018-10-26,厚德楼1-10
中国南方电网有限责任公司超高压输电公司,昆明理工大学,2018-10-26,呈贡校区电力楼420
昆明好康健身运动服务有限公司,云南师范大学文理学院,2018-10-26,招聘室（三号公寓超市旁）
昆明世纪金源购物大广场有限公司,云南农业大学,2018-10-26,逸夫楼B区504（周五）
昆明怡泰祥珠宝有限公司,云南交通职业技术学院,2018-10-26,实验楼411
新希望六和股份有限公司,云南农业大学,2018-10-26,逸夫楼B区502（周五）
成都极客未来教育科技有限公司,云南财经大学,2018-10-26,凌云楼北201
成都极客未来教育科技有限公司,云南财经大学,2018-10-26,凌云楼北201
信泰光学（深圳）有限公司,西南林业大学,2018-10-26,新校区就业创业实训基地一楼报告厅
中地君豪建筑工程有限公司,云南农业大学,2018-10-26,逸夫楼C306
云南迪信通电子通信技术有限公司,云南财经大学,2018-10-26,学生服务大厅
云南建投第十一建设有限公司,云南农业大学,2018-10-26,厚德楼1-6
云南东风南方汽车销售服务有限公司,云南农业大学,2018-10-26,7号教学楼B区404教室（周五）
上海嘉来景观工程有限公司,昆明理工大学,2018-10-26,呈贡校区信自楼100报告厅（324人）
广州天力建筑工程有限公司,昆明理工大学,2018-10-26,呈贡校区建工200报告厅
昆明指北针测绘有限公司,云南师范大学文理学院,2018-10-26,招聘室（三号公寓超市旁）
昆明荔晨文化培训学校有限公司,昆明理工大学,2018-10-26,新迎校区明虹楼报告厅
浙江奥翔药业股份有限公司,昆明理工大学,2018-10-26,呈贡校区西北区教学楼B栋104
云南城投众和装饰有限公司,昆明理工大学,2018-10-26,新迎校区明虹楼514
中国南玻集团股份有限公司,昆明理工大学,2018-10-26,莲华校区主楼812
昆明鑫兴泽环境资源产业有限公司,昆明理工大学,2018-10-26,呈贡校区西北区教学楼B栋105
人本集团有限公司,昆明理工大学,2018-10-26,呈贡校区西北区教学楼B栋102
昆明龙津药业股份有限公司,云南中医学院,2018-10-26,教学楼2403
昆明龙津药业股份有限公司,云南中医学院,2018-10-26,教学楼2403
中国人寿保险股份有限公司昆明分公司,云南民族大学,2018-10-26,广智院A-210
深圳市左右家私有限公司,云南民族大学,2018-10-26,广智院A-113
得力集团有限公司,云南民族大学,2018-10-26,广智院B-105
今飞控股集团有限公司,西南林业大学,2018-10-26,新校区就业创业实训基地一楼报告厅
云南捷通达汽车投资有限公司,西南林业大学,2018-10-26,老校区第一教学楼A558多媒体教室
云南电网有限责任公司,昆明理工大学,2018-10-26,呈贡校区信自楼100报告厅
一汽红塔云南汽车制造有限公司,昆明理工大学,2018-10-26,莲华校区主楼812
上海锐诩企业管理有限公司,云南师范大学文理学院,2018-10-26,招聘室（三号公寓超市旁）
中铁物贸集团昆明有限公司,昆明理工大学,2018-10-26,呈贡校区西北区教学楼B栋104
嘉士伯（中国）啤酒工贸有限公司,昆明理工大学,2018-10-25,呈贡校区西北区教学楼B栋102
南京证券股份有限公司云南分公司,云南财经大学,2018-10-25,学生服务大厅
云南东风南方汽车销售服务有限公司,西南林业大学,2018-10-25,新校区就业创业实训基地一楼报告厅
莱克电气股份有限公司,昆明理工大学,2018-10-25,呈贡校区西北区教学楼B栋101
核工业西南勘察设计研究院有限公司,昆明理工大学,2018-10-25,莲华校区国土资源工程学院第二会议室
北京东方雨虹防水技术股份有限公司,昆明理工大学,2018-10-25,呈贡校区建工200报告厅（建工院）
北京东方雨虹防水技术股份有限公司,昆明理工大学,2018-10-25,呈贡校区建工200报告厅（建工院）
福建青拓设备制造有限公司,昆明理工大学,2018-10-25,莲华校区冶能楼407
福建七匹狼实业股份有限公司,昆明理工大学,2018-10-25,莲华校区管经楼406教室
云南九机电子产品有限公司（九机网）,云南财经大学,2018-10-25,学生服务大厅
莱克电气股份有限公司,西南林业大学,2018-10-25,新校区就业创业实训基地一楼报告厅
昆明市新巴拉汇典贸易有限公司,昆明理工大学,2018-10-25,呈贡校区西北区教学楼B栋104
东风本田汽车零部件有限公司,昆明理工大学,2018-10-25,呈贡校区电力楼422
四川链家房地产经纪有限公司,云南师范大学文理学院,2018-10-25,招聘室（三号公寓超市旁）
广东大冶摩托车技术有限公司,昆明理工大学,2018-10-25,呈贡校区西北区教学楼B栋101
云南创佳楼宇科技工程有限公司,昆明理工大学,2018-10-25,新迎校区润泽楼102
东莞市骏智机电科技有限公司,昆明理工大学,2018-10-25,呈贡校区西北区教学楼B栋102
浙江省工业设备安装集团有限公司,昆明理工大学,2018-10-25,新迎校区梓韵楼301
云南码谷信息技术有限公司,昆明理工大学,2018-10-25,呈贡校区西北区教学楼B栋105
重庆齿轮箱有限责任公司,昆明理工大学,2018-10-25,呈贡校区机电楼100报告厅
成都经典蓝图科技有限公司云南分公司,云南中医学院,2018-10-25,教学楼3406
湖南鼎一致远科技发展有限公司,昆明理工大学,2018-10-25,呈贡校区计算中心100报告厅（200人）
湖南鼎一致远科技发展有限公司,昆明理工大学,2018-10-25,呈贡校区计算中心100报告厅（200人）
四川铁科建设监理有限公司,云南民族大学,2018-10-25,广智院A-113
一砖一瓦教育科技有限公司昆明分公司,昆明理工大学,2018-10-25,呈贡校区建工楼315
信泰光学（深圳）有限公司,云南财经大学,2018-10-25,学生服务大厅
人本集团有限公司,西南林业大学,2018-10-25,新校区就业创业实训基地一楼报告厅
中铁二局集团有限公司,云南民族大学,2018-10-25,博雅院B--412
大唐云南发电有限公司,昆明理工大学,2018-10-25,呈贡校区西北区教学楼B栋101
华能澜沧江水电股份有限公司,昆明理工大学,2018-10-25,莲华校区冶能楼407
云南建投第十一建设有限公司,昆明理工大学,2018-10-25,呈贡校区西北区教学楼B栋104
成都经典蓝图科技有限公司云南分公司,昆明理工大学,2018-10-25,新迎校区梓韵楼301
成都中牧生物药业有限公司,昆明理工大学,2018-10-25,呈贡校区西北区教学楼B栋105
昆明丽都医疗美容医院有限公司,云南师范大学文理学院,2018-10-25,招聘室（三号公寓超市旁）
金诚信矿业管理股份有限公司,昆明理工大学,2018-10-25,呈贡校区机电楼100报告厅
芯讯通无线科技(上海)有限公司,昆明理工大学,2018-10-24,呈贡校区信自楼617
贵州天福化工有限责任公司,昆明理工大学,2018-10-24,呈贡校区化工楼二楼100报告厅
沃尔玛（中国）投资有限公司,昆明理工大学,2018-10-24,呈贡校区信自楼100报告厅
沃尔玛（中国）投资有限公司,昆明理工大学,2018-10-24,呈贡校区信自楼100报告厅
广州立白企业集团有限公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋102
酒泉钢铁（集团）有限责任公司,昆明理工大学,2018-10-24,莲华校区冶能楼407
江苏中南建筑产业集团有限责任公司,昆明理工大学,2018-10-24,呈贡校区博文楼100报告厅
江苏兴达钢帘线股份有限公司,西南林业大学,2018-10-24,新校区就业创业实训基地一楼报告厅
石药控股集团有限公司,云南中医学院,2018-10-24,教学楼3303
天虹商场股份有限公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋105
上海爱数信息技术股份有限公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋101
昆明居然之家家居建材市场有限公司,昆明理工大学,2018-10-24,新迎校区润泽楼101
万达信息股份有限公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋104
天职国际会计师事务所（特殊普通合伙）云南分所,云南财经大学,2018-10-24,凌媒南附201
迪卡侬（上海）体育用品有限公司昆明广福路分公司,云南财经大学,2018-10-24,学生服务大厅
索菲亚家居股份有限公司,云南农业大学,2018-10-24,7号教学楼B区205教室(周三）
北京东方雨虹防水技术股份有限公司,西南林业大学,2018-10-24,新校区就业创业实训基地一楼报告厅
中钨高新材料股份有限公司,昆明理工大学,2018-10-24,莲华校区国土资源工程学院第一会议室
今飞控股集团有限公司,云南农业大学,2018-10-24,7号教学楼B区305教室（周三）
今飞控股集团有限公司,云南农业大学,2018-10-24,7号教学楼B区305教室（周三）
中国人寿保险股份有限公司昆明分公司,云南农业大学,2018-10-24,尚农楼3-11（周三）
四川准达信息技术股份有限公司,云南农业大学,2018-10-24,逸夫楼B区403（周三）
成都中牧生物药业有限公司,云南农业大学,2018-10-24,七号教学楼B区402教室（周三）
四川企舰科技股份有限公司,云南农业大学,2018-10-24,逸夫楼C303（周三）
广东金正大生态工程有限公司,云南农业大学,2018-10-24,逸夫楼B区307（周三）
青岛瑞源工程集团有限公司,云南农业大学,2018-10-24,逸夫楼B502（周三）
中铁二十五局集团有限公司,云南农业大学,2018-10-24,逸夫楼C307（周三）
傲拓道(北京)人力资源服务有限公司昆明分公司,昆明医科大学,2018-10-24,呈贡校区学生会堂209室
中地君豪建筑工程有限公司,云南大学滇池学院,2018-10-24,三号学思楼409多媒体教室
四川中泰联合设计股份有限公司,云南农业大学,2018-10-24,逸夫楼B区501（周三）
云南创佳楼宇科技工程有限公司,云南农业大学,2018-10-24,逸夫楼B504（周三）
陕西海升果业发展股份有限公司灵宝分公司,云南农业大学,2018-10-24,7号教学楼B区401教室（周三）
云南九机电子产品有限公司（九机网）,云南农业大学,2018-10-24,7号教学楼B区203教室（周三）
中国能源建设集团云南火电建设有限公司,云南农业大学,2018-10-24,尚农楼5-11（周三）
中国平安财产保险股份有限公司广东分公司,云南农业大学,2018-10-24,逸夫楼B区405（周三）
中国平安财产保险股份有限公司广东分公司,云南农业大学,2018-10-24,逸夫楼B区405（周三）
广东钻石世家国际珠宝有限公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋105
中国南方航空股份有限公司广西分公司,云南艺术学院,2018-10-24,云南艺术学院2栋宿舍1楼大学生创业孵化园
安徽新华教育集团有限公司,云南艺术学院,2018-10-24,艺术设计学院103会议室
云南中工信融信息技术有限公司,昆明理工大学,2018-10-24,新迎校区明虹楼报告厅
成都极客未来教育科技有限公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋101
中国大地财产保险股份有限公司云南分公司,云南财经大学,2018-10-24,学生服务大厅
云南电网有限责任公司保山供电局,昆明理工大学,2018-10-24,呈贡校区电力楼422
昆明万科房地产开发有限公司,昆明理工大学,2018-10-24,呈贡校区西南区公教楼小剧场
纬创资通（中山）有限公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋102
国防科技大学计算机研究所银河技术服务部,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋104
天虹商场股份有限公司,云南民族大学,2018-10-24,广智院A-210
中国平安财产保险股份有限公司广东分公司,昆明医科大学,2018-10-24,呈贡校区学生会堂209室
南方医科大学第五附属医院,昆明医科大学,2018-10-24,昆明医科大学呈贡校区学生会堂212
昆明龙津药业股份有限公司,昆明医科大学,2018-10-24,呈贡校区学生会堂209室
云南送变电工程有限公司,昆明理工大学,2018-10-24,呈贡校区电力楼412
云南送变电工程有限公司,昆明理工大学,2018-10-24,呈贡校区电力楼412
云南万通汽修职业培训学校,西南林业大学,2018-10-24,新校区就业创业实训基地一楼报告厅
上海高顿企业管理咨询有限公司,云南财经大学,2018-10-24,学生服务大厅
信泰光学（深圳）有限公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋104
米易县人力资源和社会保障局,昆明理工大学,2018-10-24,呈贡校区信自楼100报告厅
陕西海升果业发展股份有限公司灵宝分公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋101
昆明金水铜冶炼有限公司,昆明理工大学,2018-10-24,莲华校区冶能楼407
中国能源建设集团云南火电建设有限公司,昆明理工大学,2018-10-24,新迎校区明虹楼报告厅
青岛瑞源工程集团有限公司,昆明理工大学,2018-10-24,呈贡校区西北区教学楼B栋102
广东海洋大学寸金学院,云南财经大学,2018-10-23,学生服务大厅
浙江绍兴苏泊尔生活电器有限公司,西南林业大学,2018-10-23,新校区就业创业实训基地一楼报告厅
五矿稀土集团有限公司,昆明理工大学,2018-10-23,莲华校区基础楼200
云南多宝电缆集团股份有限公司,云南交通职业技术学院,2018-10-23,行知楼404
云南实力控股集团有限公司,昆明理工大学,2018-10-23,呈贡校区信自楼100报告厅
云南中工信融信息技术有限公司,昆明理工大学,2018-10-23,理学楼100
南京钢铁股份有限公司,昆明理工大学,2018-10-23,呈贡校区中心区教学楼100报告厅
南京钢铁股份有限公司,昆明理工大学,2018-10-23,呈贡校区中心区教学楼100报告厅
中国南方航空股份有限公司广西分公司,昆明理工大学,2018-10-23,新迎校区锦明楼111
江苏兴达钢帘线股份有限公司,昆明理工大学,2018-10-23,莲华校区主楼812
云南新希望邓川蝶泉乳业有限公司,云南财经大学,2018-10-23,学生服务大厅
力帆实业（集团）股份有限公司,西南林业大学,2018-10-23,新校区就业创业实训基地一楼报告厅
天虹商场股份有限公司,云南财经大学,2018-10-23,凌云楼北301
浙江绍兴苏泊尔生活电器有限公司,昆明理工大学,2018-10-23,呈贡校区西北区教学楼B栋105
靖西天桂铝业有限公司,昆明理工大学,2018-10-23,莲华校区冶能楼407
云锡文山锌铟冶炼有限公司,昆明理工大学,2018-10-23,呈贡校区信自楼617
福建青拓设备制造有限公司,昆明理工大学,2018-10-23,呈贡校区西北区教学楼B栋102
广东海洋大学寸金学院,昆明理工大学,2018-10-23,呈贡校区博文楼100报告厅
浙江兴土桥梁临时钢结构工程有限公司,昆明理工大学,2018-10-23,呈贡校区信自楼100报告厅
中国核工业第五建设有限公司,昆明理工大学,2018-10-23,新迎校区明虹楼报告厅
索菲亚家居股份有限公司,昆明理工大学,2018-10-23,呈贡校区西北区教学楼B栋101
攀枝花市仁和区人力资源和社会保障局,昆明理工大学,2018-10-23,莲华校区国土资源工程学院第一会议室
北京千喜鹤餐饮管理有限公司,昆明理工大学,2018-10-23,呈贡校区西北区教学楼B栋104
北京千喜鹤餐饮管理有限公司,昆明理工大学,2018-10-23,呈贡校区西北区教学楼B栋104
青岛啤酒股份有限公司,云南民族大学,2018-10-23,广智院A-114
云南新东方烹饪职业培训学校,云南民族大学,2018-10-23,广智院B-104
成都中牧生物药业有限公司,云南民族大学,2018-10-23,广智院A-208
北汽福田国际贸易有限公司,云南民族大学,2018-10-23,广智院B-115
浙江绍兴苏泊尔生活电器有限公司,云南民族大学,2018-10-23,广智院A-104
四川国光农化股份有限公司,西南林业大学,2018-10-23,新校区就业创业实训基地一楼报告厅
深圳市西遇时尚服饰有限公司,昆明理工大学,2018-10-23,莲华校区管经楼406教室
鹏欣环球资源股份有限公司,昆明理工大学,2018-10-23,莲华校区冶能楼407
南京钢铁股份有限公司,昆明理工大学,2018-10-23,莲华校区主楼712
云南电网有限责任公司大理供电局,昆明理工大学,2018-10-23,呈贡校区电力楼422
中南安全环境技术研究院股份有限公司贵州分公司,昆明理工大学,2018-10-23,呈贡校区西北区教学楼B栋101
广州赛意信息科技股份有限公司,昆明理工大学,2018-10-23,新迎校区明虹楼报告厅
融宜机器人智教中心（呈贡昆百大店）,昆明理工大学,2018-10-23,呈贡校区机电楼100报告厅
米易县人力资源和社会保障局,云南民族大学,2018-10-23,广智院B-103
云南胜威化工有限公司,西南林业大学,2018-10-22,新校区就业创业实训基地一楼报告厅
云南胜威化工有限公司,西南林业大学,2018-10-22,新校区就业创业实训基地一楼报告厅
云南九机电子产品有限公司（九机网）,云南交通职业技术学院,2018-10-22,行知楼404
中国平安财产保险股份有限公司广东分公司,昆明理工大学,2018-10-22,呈贡校区西北区教学楼B栋104
昆明居然之家家居建材市场有限公司,云南财经大学,2018-10-22,学生服务大厅
华烽国际投资控股（中国）有限公司,昆明理工大学,2018-10-22,呈贡校区西北区教学楼B栋101
浙江兴土桥梁专用装备制造有限公司,昆明理工大学,2018-10-22,莲华校区主楼812
珠海健帆生物科技股份有限公司,昆明理工大学,2018-10-22,呈贡校区西北区教学楼B栋102
云南克雷斯制药股份有限公司,云南中医学院,2018-10-22,教学楼1308
中铁十九局集团有限公司,昆明理工大学,2018-10-22,莲华校区国土资源工程学院第一会议室
云南普畅网络科技有限公司,云南师范大学文理学院,2018-10-22,招聘室（三号公寓超市旁）
云南鸿翔一心堂药业（集团）股份有限公司,云南中医学院,2018-10-22,教学楼2408
广州市永特耐木胶贸易有限公司,西南林业大学,2018-10-22,新校区就业创业实训基地一楼报告厅
力帆实业（集团）股份有限公司,昆明理工大学,2018-10-22,呈贡校区西北区教学楼B栋101
北京金准咨询有限责任公司,昆明理工大学,2018-10-22,呈贡校区信自楼100报告厅（324人）
格林美股份有限公司,昆明理工大学,2018-10-22,呈贡校区西北区教学楼B栋104
中国人寿保险股份有限公司昆明分公司,云南财经大学,2018-10-22,学生服务大厅
中国人寿保险股份有限公司昆明分公司,云南财经大学,2018-10-22,学生服务大厅
红河哈尼族彝族自治州水利水电工程地质勘察咨询规划研究院,昆明理工大学,2018-10-22,呈贡校区电力楼412
云南凯蓝品牌管理有限公司,昆明理工大学,2018-10-22,新迎校区明虹楼报告厅
中建四局第五建筑工程有限公司云南分公司,昆明理工大学,2018-10-22,呈贡校区西北区教学楼B栋105
中国南方航空股份有限公司广西分公司,云南民族大学,2018-10-22,广智院B-206
云南志在教育投资有限公司,云南民族大学,2018-10-22,广智院B-407
华烽国际投资控股（中国）有限公司,云南民族大学,2018-10-22,广智院A-411
广东海洋大学寸金学院,云南民族大学,2018-10-22,广智院B-405
昆明能讯科技有限责任公司,云南民族大学,2018-10-22,广智院B-315
中国人民人寿保险股份有限公司昆明市官渡支公司,昆明理工大学,2018-10-22,呈贡校区西北区教学楼B栋105
云南新东方培训学校,昆明理工大学,2018-10-22,新迎校区明虹楼报告厅
江苏康众汽配有限公司,西南林业大学,2018-10-22,第三教学楼519多媒体教室
陕西海升果业发展股份有限公司灵宝分公司,西南林业大学,2018-10-22,新校区就业创业实训基地一楼报告厅
今飞控股集团有限公司,昆明理工大学,2018-10-22,呈贡校区西北区教学楼B栋102
柳州职业技术学院,昆明理工大学,2018-10-22,呈贡校区西北区教学楼B栋101
北汽福田国际贸易有限公司,云南财经大学,2018-10-22,学生服务大厅
北汽福田国际贸易有限公司,云南财经大学,2018-10-22,学生服务大厅
西南能矿集团股份有限公司,昆明理工大学,2018-10-22,呈贡校区信自楼100报告厅
深圳百果园实业发展有限公司,西南林业大学,2018-10-21,新校区就业创业实训基地一楼报告厅
贵州宏财投资集团有限责任公司,昆明理工大学,2018-10-21,呈贡校区西北区教学楼B栋101（135-150人）
康龙化成（宁波）新药技术有限公司,昆明理工大学,2018-10-21,呈贡校区化工楼二楼100报告厅
文山海螺水泥有限责任公司,昆明理工大学,2018-10-21,莲华校区主楼812
中铁城建集团有限公司,云南财经大学,2018-10-21,学生服务大厅
中铁十八局集团有限公司,西南林业大学,2018-10-21,新校区就业创业实训基地一楼报告厅
中国建筑第六工程局有限公司,昆明理工大学,2018-10-21,呈贡校区西北区教学楼B栋101
中国市政工程西北设计研究院有限公司,昆明理工大学,2018-10-20,呈贡校区信自楼100报告厅
昆明辉茂置业有限公司,云南财经大学,2018-10-20,学生服务大厅
中铁城建集团有限公司,昆明理工大学,2018-10-20,呈贡校区西北区教学楼B栋101
福建翔丰华新能源材料有限公司,昆明理工大学,2018-10-20,呈贡校区西北区教学楼B栋102
文山海螺水泥有限责任公司,西南林业大学,2018-10-20,新校区就业创业实训基地一楼报告厅
中铁建工集团有限公司,昆明理工大学,2018-10-20,呈贡校区信自楼100报告厅（324人）
成都基准方中建筑设计有限公司昆明分公司,昆明理工大学,2018-10-20,呈贡校区计算中心100报告厅（200人）
成都基准方中建筑设计有限公司昆明分公司,昆明理工大学,2018-10-20,呈贡校区计算中心100报告厅（200人）
浙江宇太精工股份有限公司,昆明理工大学,2018-10-20,呈贡校区西北区教学楼B栋104
中铁城建集团有限公司,西南林业大学,2018-10-20,新校区就业创业实训基地一楼报告厅
中铁十八局集团有限公司,昆明理工大学,2018-10-20,呈贡校区西北区教学楼B栋101（135-150人）
鲁南制药集团,昆明理工大学,2018-10-20,呈贡校区生科楼A200
北京中公教育科技股份有限公司呈贡师大分公司,昆明理工大学,2018-10-20,呈贡校区西北区教学楼B栋102
云南电网有限责任公司普洱供电局,昆明理工大学,2018-10-20,呈贡校区电力楼412
中铁十八局集团有限公司,云南财经大学,2018-10-20,学生服务大厅
招商银行股份有限公司昆明分行,云南财经大学,2018-10-19,学生服务大厅
中铁二十三局集团有限公司,西南林业大学,2018-10-19,新校区就业创业实训基地一楼报告厅
广州江河幕墙系统工程有限公司,昆明理工大学,2018-10-19,呈贡校区西北区教学楼B栋101
瑞华会计师事务所（特殊普通合伙）云南分所,云南财经大学,2018-10-19,凌云楼南附401
旭辉集团股份有限公司,昆明理工大学,2018-10-19,呈贡校区西南区公教楼小剧场
大唐迪庆香格里拉电力开发有限公司,昆明理工大学,2018-10-19,呈贡校区电力楼420
信永中和会计师事务所(特殊普通合伙）昆明分所,昆明理工大学,2018-10-19,莲华校区管经楼406教室
中国有色金属工业第六冶金建设有限公司,云南农业大学,2018-10-19,逸夫楼C306
中国有色金属工业第六冶金建设有限公司,云南农业大学,2018-10-19,逸夫楼C306
广州市中大管理咨询有限公司,云南财经大学,2018-10-19,学生服务大厅
中国工商银行股份有限公司云南省分行,云南财经大学,2018-10-19,凌云楼南附401
北京千喜鹤餐饮管理有限公司,云南农业大学,2018-10-19,7号教学楼B区502教室（周五）
云南润杰农业科技股份有限公司,云南农业大学,2018-10-19,7号教学楼B区404教室（周五）
昆明能讯科技有限责任公司,云南农业大学,2018-10-19,7号教学楼B区504教室（周五）
中铁二十三局集团有限公司,云南农业大学,2018-10-19,厚德楼1-6
湖南中伟控股集团有限公司,昆明理工大学,2018-10-19,呈贡校区西北区教学楼B栋104
中冶交通建设集团有限公司,昆明理工大学,2018-10-19,呈贡校区博文楼100报告厅
广州貴冠科技有限公司,昆明理工大学,2018-10-19,新迎校区明虹楼报告厅
深圳市英威腾电气股份有限公司,昆明理工大学,2018-10-19,呈贡校区西北区教学楼B栋102
昆药集团股份有限公司,云南中医学院,2018-10-19,翰墨楼一楼报告厅
中铁十九局集团有限公司,昆明理工大学,2018-10-19,呈贡校区建工200报告厅
昆明世联卓群房地产经纪有限公司,西南林业大学,2018-10-19,新校区就业创业实训基地一楼报告厅
云南顺丰速运有限公司,昆明理工大学,2018-10-19,呈贡校区交通楼A402
浙江九洲药业股份有限公司,昆明理工大学,2018-10-19,呈贡校区西北区教学楼B栋105
浙江九洲药业股份有限公司,昆明理工大学,2018-10-19,呈贡校区西北区教学楼B栋105
隆鑫通用动力股份有限公司,昆明理工大学,2018-10-19,新迎校区明虹楼508
基恩士（中国）有限公司,昆明理工大学,2018-10-19,呈贡校区西北区教学楼B栋101
云南迪信通电子通信技术有限公司,云南民族大学,2018-10-19,广智院B-106
深圳市明喆物业管理有限公司昆明分公司,云南民族大学,2018-10-19,广智院B-109
云南九机电子产品有限公司（九机网）,云南民族大学,2018-10-19,广智院 A-102
四川企舰科技股份有限公司,云南民族大学,2018-10-19,广智院 A-108
昆明丽都医疗美容医院有限公司,云南民族大学,2018-10-19,广智院A-109
云南克雷斯制药股份有限公司,云南财经大学,2018-10-19,凌媒南303
云南小松工程机械有限公司,西南林业大学,2018-10-19,新校区就业创业实训基地一楼报告厅
东原房地产开发集团有限公司,云南财经大学,2018-10-19,学生服务大厅
山东新时代药业有限公司,云南中医学院,2018-10-19,教学楼1203
云南工程建设总承包公司,云南财经大学,2018-10-19,凌媒南504
中国铁建大桥工程局集团有限公司,昆明理工大学,2018-10-19,呈贡校区西北区教学楼B栋102
云南省医药有限公司,昆明理工大学,2018-10-19,呈贡校区博文楼100报告厅（364人）
营口京华钢铁有限公司,昆明理工大学,2018-10-19,莲华校区冶能楼407
营口京华钢铁有限公司,昆明理工大学,2018-10-19,莲华校区冶能楼407
中铁建设集团西南分公司,云南民族大学,2018-10-19,广智院A-105
广西南丹南方金属有限公司,昆明理工大学,2018-10-19,呈贡校区西北区教学楼B栋101
招商银行股份有限公司昆明分行,昆明理工大学,2018-10-18,呈贡校区西北区教学楼B栋101（135-150人）
中山市华盛家具制造有限公司,西南林业大学,2018-10-18,新校区就业创业实训基地一楼报告厅
桂林市啄木鸟医疗器械有限公司,昆明理工大学,2018-10-18,呈贡校区建筑200报告厅
沃尔玛（云南）商业零售有限公司,云南交通职业技术学院,2018-10-18,行知楼404
昆明星火教育信息咨询有限公司,昆明理工大学,2018-10-18,新迎校区明虹楼报告厅
厦门虹鹭钨钼工业有限公司,昆明理工大学,2018-10-18,莲华校区主楼812
江苏沙钢集团淮钢特钢股份有限公司,昆明理工大学,2018-10-18,莲华校区冶能楼407
俊发地产有限责任公司,云南财经大学,2018-10-18,凌媒南附201
融创房地产集团有限公司,昆明理工大学,2018-10-18,呈贡校区西北区教学楼B栋104
杭州杭诚专利事务所有限公司,昆明理工大学,2018-10-18,呈贡校区西北区教学楼B栋105
