天天印相,发表于 2018-12-17 22:31,天数：1 天,时间：12 月,人均：250 元,和谁：和朋友,['米奇大街'],[{'district': '浦东新区'， 'address': '米奇大街'， 'geo': {'lng': 121.763968， 'lat': 31.052804}}],现居上海
凡人客栈,发表于 2018-12-17 16:37,和谁：一个人,玩法：摄影，人文,,,['上海鲜花港'， '大宁灵石公园'， '上海植物园'， '上海'， '华山路'， '黄浦江'],[{'district': '浦东新区'， 'address': '上海鲜花港'， 'geo': {'lng': 121.909054， 'lat': 30.951117}}， {'district': '闸北区'， 'address': '大宁灵石公园'， 'geo': {'lng': 121.449613， 'lat': 31.282139}}， {'district': '徐汇区'， 'address': '上海植物园'， 'geo': {'lng': 121.451882， 'lat': 31.15428}}， {'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '徐汇区'， 'address': '华山路'， 'geo': {'lng': 121.444028， 'lat': 31.218004}}， {'district': '浦东新区'， 'address': '黄浦江'， 'geo': {'lng': 121.479713， 'lat': 31.191816}}],现居上海
米米小兰兰,发表于 2018-12-17 16:24,天数：2 天,时间：12 月,人均：500 元,和谁：亲子,['上海'， '草莓'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}],现居天津
前沿旅讯,发表于 2018-12-17 15:46,玩法：人文,,,,['上海'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}],现居商丘
288****310,发表于 2018-12-17 10:51,玩法：美食，购物,,,,['上海'， '外滩'， '百乐门'， '石库门'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '黄浦区'， 'address': '外滩'， 'geo': {'lng': 121.500728， 'lat': 31.236049}}， {'district': '静安区'， 'address': '百乐门'， 'geo': {'lng': 121.450788， 'lat': 31.229928}}， {'district': '黄浦区'， 'address': '石库门'， 'geo': {'lng': 121.475111， 'lat': 31.214368}}],现居上海
飞客茶馆2018,发表于 2018-12-16 23:10,天数：3 天,时间：12 月,人均：4000 元,和谁：一个人,['外滩源'， '外白渡桥'， '陆家嘴'， '上海'],[{'district': '黄浦区'， 'address': '外滩源'， 'geo': {'lng': 121.495596， 'lat': 31.248042}}， {'district': '黄浦区'， 'address': '外白渡桥'， 'geo': {'lng': 121.496726， 'lat': 31.248807}}， {'district': '浦东新区'， 'address': '陆家嘴'， 'geo': {'lng': 121.5099， 'lat': 31.244555}}， {'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}],现居淮南
天天印相,发表于 2018-12-16 22:53,天数：1 天,时间：12 月,人均：250 元,和谁：和朋友,['上海'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}],现居上海
林川,发表于 2018-12-16 22:39,天数：1 天,时间：12 月,人均：1 元,和谁：一个人,['上海'， '上海音乐厅'， '上海音乐学院'， '同济大学'， '上海大剧院'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '黄浦区'， 'address': '上海音乐厅'， 'geo': {'lng': 121.48499， 'lat': 31.233964}}， {'district': '徐汇区'， 'address': '上海音乐学院'， 'geo': {'lng': 121.460964， 'lat': 31.219804}}， {'district': '杨浦区'， 'address': '同济大学'， 'geo': {'lng': 121.519794， 'lat': 31.287435}}， {'district': '黄浦区'， 'address': '上海大剧院'， 'geo': {'lng': 121.47848， 'lat': 31.235481}}],现居上海
蓝色的郁金香88,发表于 2018-12-15 14:06,时间：12 月,人均：90 元,和谁：和朋友,玩法：美食,['上海'， '田子坊'],[{'district': '闸北区'， 'address': '上海'， 'geo': {'lng': 121.487899， 'lat': 31.249162}}， {'district': '黄浦区'， 'address': '田子坊'， 'geo': {'lng': 121.47585， 'lat': 31.214257}}],现居上海
M47****797,发表于 2018-12-14 22:00,天数：2 天,人均：1000 元,和谁：和朋友,玩法：美食，自由行，周末游,['上海迪士尼度假区'， '雷鸣山漂流'],[{'district': '浦东新区'， 'address': '上海迪士尼度假区'， 'geo': {'lng': 121.672711， 'lat': 31.147463}}],现居上海
