排名,电影名,链接,演员,评分,上映时间
20,黑客帝国,https://maoyan.com/films/1249,主演：基努·里维斯，凯瑞-安·莫斯，劳伦斯·菲什伯恩,9.0,上映时间：2000-01-14
21,加勒比海盗,https://maoyan.com/films/5880,主演：约翰尼·德普，凯拉·奈特莉，奥兰多·布鲁姆,8.9,上映时间：2003-11-21
22,指环王3：王者无敌,https://maoyan.com/films/428,主演：伊莱贾·伍德，伊恩·麦克莱恩，丽芙·泰勒,9.2,上映时间：2004-03-15
23,哈利·波特与魔法石,https://maoyan.com/films/3606,主演：丹尼尔·雷德克里夫，鲁伯特·格林特，艾玛·沃特森,9.1,上映时间：2002-01-26
24,无间道,https://maoyan.com/films/224973,主演：刘德华，梁朝伟，黄秋生,9.1,上映时间：2003-09-05
25,楚门的世界,https://maoyan.com/films/1304,主演：金·凯瑞，劳拉·琳妮，诺亚·艾默里奇,8.9,上映时间：1998-06-01(美国)
26,蝙蝠侠：黑暗骑士,https://maoyan.com/films/790,主演：克里斯蒂安·贝尔，希斯·莱杰，阿伦·伊克哈特,9.3,上映时间：2008-07-18(美国)
27,射雕英雄传之东成西就,https://maoyan.com/films/13824,主演：张国荣，梁朝伟，张学友,8.9,上映时间：1993-02-05(中国香港)
28,教父2,https://maoyan.com/films/6641,主演：阿尔·帕西诺，罗伯特·德尼罗，黛安·基顿,9.0,上映时间：1974-12-12(美国)
29,指环王2：双塔奇兵,https://maoyan.com/films/1221,主演：伊莱贾·伍德，伊恩·麦克莱恩，丽芙·泰勒,9.1,上映时间：2003-04-25
30,机器人总动员,https://maoyan.com/films/488,主演：本·贝尔特，艾丽莎·奈特，杰夫·格尔林,9.3,上映时间：2008-06-27(美国)
31,天堂电影院,https://maoyan.com/films/718,主演：菲利浦·诺瓦雷，赛尔乔·卡斯特利托，蒂兹亚娜·罗达托,9.2,上映时间：1988-11-17(意大利)
32,活着,https://maoyan.com/films/1375,主演：葛优，巩俐，牛犇,9.0,上映时间：1994-05-18(法国)
33,拯救大兵瑞恩,https://maoyan.com/films/733,主演：汤姆·汉克斯，马特·达蒙，汤姆·塞兹摩尔,8.9,上映时间：1998-07-24(美国)
34,哈尔的移动城堡,https://maoyan.com/films/225980,主演：倍赏千惠子，木村拓哉，美轮明宏,9.0,上映时间：2004-11-20(日本)
35,盗梦空间,https://maoyan.com/films/416,主演：莱昂纳多·迪卡普里奥，渡边谦，约瑟夫·高登-莱维特,9.2,上映时间：2010-09-01
36,忠犬八公的故事,https://maoyan.com/films/38286,主演：Forest，理查·基尔，琼·艾伦,9.3,上映时间：2010-03-12(英国)
37,幽灵公主,https://maoyan.com/films/5357,主演：松田洋治，石田百合子，田中裕子,8.9,上映时间：1997-07-12(日本)
38,搏击俱乐部,https://maoyan.com/films/1291,主演：爱德华·哈里森·诺顿，布拉德·皮特，海伦娜·伯翰·卡特,8.8,上映时间：1999-10-15(美国)
39,东邪西毒,https://maoyan.com/films/1355,主演：张国荣，梁朝伟，刘嘉玲,8.8,上映时间：1994-09-17
40,阿凡达,https://maoyan.com/films/243,主演：萨姆·沃辛顿，佐伊·索尔达娜，米歇尔·罗德里格兹,9.1,上映时间：2010-01-04
41,风之谷,https://maoyan.com/films/1230,主演：岛本须美，永井一郎，坂本千夏,8.9,上映时间：1992
42,疯狂原始人,https://maoyan.com/films/78099,主演：尼古拉斯·凯奇，艾玛·斯通，瑞安·雷诺兹,9.5,上映时间：2013-04-20
43,V字仇杀队,https://maoyan.com/films/13636,主演：娜塔莉·波特曼，雨果·维文，斯蒂芬·瑞,8.8,上映时间：2006-03-17(美国)
44,放牛班的春天,https://maoyan.com/films/1205,主演：热拉尔·朱尼奥，让-巴蒂斯特·莫尼耶，玛丽·布奈尔,8.8,上映时间：2004-10-16
45,十二怒汉,https://maoyan.com/films/2049,主演：亨利·方达，李·科布，马丁·鲍尔萨姆,9.1,上映时间：1957-04-13(美国)
46,三傻大闹宝莱坞,https://maoyan.com/films/43,主演：Aamir Hussain Khan，黄渤，卡琳娜·卡普,9.1,上映时间：2011-12-08
47,当幸福来敲门,https://maoyan.com/films/899,主演：威尔·史密斯，贾登·史密斯，坦迪·牛顿,8.9,上映时间：2008-01-17
48,勇敢的心,https://maoyan.com/films/3294,主演：梅尔·吉布森，苏菲·玛索，帕特里克·麦高汉,8.8,上映时间：1995-05-24(美国)
49,黑客帝国3：矩阵革命,https://maoyan.com/films/9053,主演：基努·里维斯，雨果·维文，凯瑞-安·莫斯,8.8,上映时间：2003-11-05
50,速度与激情5,https://maoyan.com/films/364,主演：范·迪塞尔，保罗·沃克，道恩·强森,9.2,上映时间：2011-05-12
51,驯龙高手,https://maoyan.com/films/330,主演：杰伊·巴鲁切尔，杰拉德·巴特勒，亚美莉卡·费雷拉,9.0,上映时间：2010-05-14
52,少年派的奇幻漂流,https://maoyan.com/films/995,主演：苏拉·沙玛，伊尔凡·可汗，塔布,9.1,上映时间：2012-11-22
53,神偷奶爸,https://maoyan.com/films/491,主演：史蒂夫·卡瑞尔，杰森·席格尔，拉塞尔·布兰德,9.0,上映时间：2010-07-09(美国)
54,飞屋环游记,https://maoyan.com/films/614,主演：爱德华·阿斯纳，乔丹·长井，鲍勃·彼德森,8.9,上映时间：2009-08-04
55,闻香识女人,https://maoyan.com/films/6289,主演：阿尔·帕西诺，克里斯·奥唐纳，加布里埃尔·安瓦尔,8.8,上映时间：1992-12-23(美国)
56,大话西游之月光宝盒,https://maoyan.com/films/6823,主演：周星驰，莫文蔚，吴孟达,9.6,上映时间：2014-10-24
57,怦然心动,https://maoyan.com/films/46818,主演：玛德琳·卡罗尔，卡兰·麦克奥利菲，艾丹·奎因,8.9,上映时间：2010-08-06(美国)
58,飞越疯人院,https://maoyan.com/films/1322,主演：杰克·尼科尔森，路易丝·弗莱彻，威尔·萨姆森,8.8,上映时间：1975-11-19(美国)
59,断背山,https://maoyan.com/films/14652,主演：希斯·莱杰，杰克·吉伦哈尔，米歇尔·威廉姆斯,9.0,上映时间：2006-01-13(美国)
60,美国往事,https://maoyan.com/films/1332,主演：罗伯特·德尼罗，詹姆斯·伍兹，伊丽莎白·麦戈文,9.1,上映时间：1984-02-17(美国)
61,致命魔术,https://maoyan.com/films/20131,主演：休·杰克曼，克里斯蒂安·贝尔，迈克尔·凯恩,8.8,上映时间：2006-10-20(美国)
62,鬼子来了,https://maoyan.com/films/1262,主演：姜文，姜宏波，陈强,8.9,上映时间：2000-05-12(法国戛纳)
